Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  22971, Model: 2, Candidate: 2, Correct? Yes
Position:  27874, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  68584, Model: 2, Candidate: 2, Correct? Yes
Position:  93172, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 108573, Model: 2, Candidate: 2, Correct? Yes
Position: 135952, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  58409, Model: 2, Candidate: 2, Correct? Yes
Position: 104840, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  97159, Model: 2, Candidate: 2, Correct? Yes
Position: 219867, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  83274, Model: 2, Candidate: 2, Correct? Yes
Position: 133071, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  68430, Model: 2, Candidate: 2, Correct? Yes
Position: 203804, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:    293, Model: 2, Candidate: 2, Correct? Yes
Position:   1332, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 102230, Model: 2, Candidate: 2, Correct? Yes
Position: 152720, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  24131, Model: 2, Candidate: 2, Correct? Yes
Position: 238712, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  75454, Model: 2, Candidate: 2, Correct? Yes
Position: 202617, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 116814, Model: 2, Candidate: 2, Correct? Yes
Position: 161165, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  72414, Model: 2, Candidate: 2, Correct? Yes
Position: 235210, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  33394, Model: 2, Candidate: 2, Correct? Yes
Position: 109654, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   2410, Model: 2, Candidate: 2, Correct? Yes
Position: 234146, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  79867, Model: 2, Candidate: 2, Correct? Yes
Position: 139080, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   6524, Model: 2, Candidate: 2, Correct? Yes
Position:  36151, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 164129, Model: 2, Candidate: 2, Correct? Yes
Position: 225373, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:    895, Model: 2, Candidate: 2, Correct? Yes
Position:   3152, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  54055, Model: 2, Candidate: 2, Correct? Yes
Position:  55536, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   4445, Model: 2, Candidate: 2, Correct? Yes
Position: 241537, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  42194, Model: 2, Candidate: 2, Correct? Yes
Position:  82662, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   3010, Model: 2, Candidate: 2, Correct? Yes
Position:   4919, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   6144, Model: 2, Candidate: 2, Correct? Yes
Position:   9483, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 123785, Model: 2, Candidate: 2, Correct? Yes
Position: 176746, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  14726, Model: 2, Candidate: 2, Correct? Yes
Position:  97720, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  18905, Model: 2, Candidate: 2, Correct? Yes
Position:  66982, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  31382, Model: 2, Candidate: 2, Correct? Yes
Position:  48384, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  10712, Model: 2, Candidate: 2, Correct? Yes
Position: 218148, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  30688, Model: 2, Candidate: 2, Correct? Yes
Position: 191637, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  11949, Model: 2, Candidate: 2, Correct? Yes
Position: 127692, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 134835, Model: 2, Candidate: 2, Correct? Yes
Position: 190027, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  30496, Model: 2, Candidate: 2, Correct? Yes
Position:  38681, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  68558, Model: 2, Candidate: 2, Correct? Yes
Position:  73803, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  43557, Model: 2, Candidate: 2, Correct? Yes
Position: 221325, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   1240, Model: 2, Candidate: 2, Correct? Yes
Position:   2709, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  28739, Model: 2, Candidate: 2, Correct? Yes
Position:  55803, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  58566, Model: 2, Candidate: 2, Correct? Yes
Position: 121772, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  63720, Model: 2, Candidate: 2, Correct? Yes
Position: 169366, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  76264, Model: 2, Candidate: 2, Correct? Yes
Position: 218362, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  40019, Model: 2, Candidate: 2, Correct? Yes
Position: 117307, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  75385, Model: 2, Candidate: 2, Correct? Yes
Position: 201188, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   9015, Model: 2, Candidate: 2, Correct? Yes
Position:  50681, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  34228, Model: 2, Candidate: 2, Correct? Yes
Position: 224338, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  60443, Model: 2, Candidate: 2, Correct? Yes
Position: 145467, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  32213, Model: 2, Candidate: 2, Correct? Yes
Position: 196836, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 175847, Model: 2, Candidate: 2, Correct? Yes
Position: 222405, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 133826, Model: 2, Candidate: 2, Correct? Yes
Position: 174859, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   7046, Model: 2, Candidate: 2, Correct? Yes
Position:  15831, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  18662, Model: 2, Candidate: 2, Correct? Yes
Position:  40776, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  88502, Model: 2, Candidate: 2, Correct? Yes
Position: 115857, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 104228, Model: 2, Candidate: 2, Correct? Yes
Position: 175731, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 126337, Model: 2, Candidate: 2, Correct? Yes
Position: 128857, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 125487, Model: 2, Candidate: 2, Correct? Yes
Position: 232383, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  85537, Model: 2, Candidate: 2, Correct? Yes
Position: 166614, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  53551, Model: 2, Candidate: 2, Correct? Yes
Position: 120048, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 111974, Model: 2, Candidate: 2, Correct? Yes
Position: 242540, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  81561, Model: 2, Candidate: 2, Correct? Yes
Position: 206067, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  26777, Model: 2, Candidate: 2, Correct? Yes
Position:  46521, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  19609, Model: 2, Candidate: 2, Correct? Yes
Position:  37763, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  18339, Model: 2, Candidate: 2, Correct? Yes
Position:  59949, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  77427, Model: 2, Candidate: 2, Correct? Yes
Position: 203004, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  71400, Model: 2, Candidate: 2, Correct? Yes
Position:  97174, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   5049, Model: 2, Candidate: 2, Correct? Yes
Position:  19152, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   8953, Model: 2, Candidate: 2, Correct? Yes
Position: 102237, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  26165, Model: 2, Candidate: 2, Correct? Yes
Position:  88017, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  99084, Model: 2, Candidate: 2, Correct? Yes
Position: 103415, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  11820, Model: 2, Candidate: 2, Correct? Yes
Position: 127611, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   2218, Model: 2, Candidate: 2, Correct? Yes
Position:  36963, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   2587, Model: 2, Candidate: 2, Correct? Yes
Position:   6208, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   5377, Model: 2, Candidate: 2, Correct? Yes
Position:  24308, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 224974, Model: 2, Candidate: 2, Correct? Yes
Position: 225356, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  94855, Model: 2, Candidate: 2, Correct? Yes
Position: 185348, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   3094, Model: 2, Candidate: 2, Correct? Yes
Position:  35782, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  21127, Model: 2, Candidate: 2, Correct? Yes
Position:  75397, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 103610, Model: 2, Candidate: 2, Correct? Yes
Position: 161715, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  17512, Model: 2, Candidate: 2, Correct? Yes
Position:  46000, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  38887, Model: 2, Candidate: 2, Correct? Yes
Position: 155556, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 101860, Model: 2, Candidate: 2, Correct? Yes
Position: 218295, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  39548, Model: 2, Candidate: 2, Correct? Yes
Position: 256179, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 134780, Model: 2, Candidate: 2, Correct? Yes
Position: 234637, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   3564, Model: 2, Candidate: 2, Correct? Yes
Position:  14339, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  20723, Model: 2, Candidate: 2, Correct? Yes
Position:  83657, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  11566, Model: 2, Candidate: 2, Correct? Yes
Position:  46037, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  90655, Model: 2, Candidate: 2, Correct? Yes
Position: 239801, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  15438, Model: 2, Candidate: 2, Correct? Yes
Position:  62054, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  80016, Model: 2, Candidate: 2, Correct? Yes
Position: 178501, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   1994, Model: 2, Candidate: 2, Correct? Yes
Position:   6670, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  58940, Model: 2, Candidate: 2, Correct? Yes
Position: 194546, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  15399, Model: 2, Candidate: 2, Correct? Yes
Position:  71431, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  40790, Model: 2, Candidate: 2, Correct? Yes
Position: 115997, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  33051, Model: 2, Candidate: 2, Correct? Yes
Position: 143145, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  53854, Model: 2, Candidate: 2, Correct? Yes
Position:  73578, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  26153, Model: 2, Candidate: 2, Correct? Yes
Position:  43027, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 136472, Model: 2, Candidate: 2, Correct? Yes
Position: 211265, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  64241, Model: 2, Candidate: 2, Correct? Yes
Position:  88117, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  52502, Model: 2, Candidate: 2, Correct? Yes
Position: 119114, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  21479, Model: 2, Candidate: 2, Correct? Yes
Position: 259667, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  96506, Model: 2, Candidate: 2, Correct? Yes
Position: 244408, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  40523, Model: 2, Candidate: 2, Correct? Yes
Position:  61248, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  18024, Model: 2, Candidate: 2, Correct? Yes
Position:  95805, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 168258, Model: 2, Candidate: 2, Correct? Yes
Position: 224031, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  90317, Model: 2, Candidate: 2, Correct? Yes
Position: 148569, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  31662, Model: 2, Candidate: 2, Correct? Yes
Position: 113868, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   8641, Model: 2, Candidate: 2, Correct? Yes
Position:  11009, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  65770, Model: 2, Candidate: 2, Correct? Yes
Position:  88770, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 120301, Model: 2, Candidate: 2, Correct? Yes
Position: 156302, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  16932, Model: 2, Candidate: 2, Correct? Yes
Position:  26859, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   5876, Model: 2, Candidate: 2, Correct? Yes
Position:   6328, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 136221, Model: 2, Candidate: 2, Correct? Yes
Position: 259609, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   4792, Model: 2, Candidate: 2, Correct? Yes
Position: 106948, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  58379, Model: 2, Candidate: 2, Correct? Yes
Position: 139208, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 142268, Model: 2, Candidate: 2, Correct? Yes
Position: 188039, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  98773, Model: 2, Candidate: 2, Correct? Yes
Position: 166690, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  53847, Model: 2, Candidate: 2, Correct? Yes
Position: 180292, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  83934, Model: 2, Candidate: 2, Correct? Yes
Position: 130225, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  63538, Model: 2, Candidate: 2, Correct? Yes
Position:  89096, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  24625, Model: 2, Candidate: 2, Correct? Yes
Position:  26116, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:    320, Model: 2, Candidate: 2, Correct? Yes
Position:  60669, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  32303, Model: 2, Candidate: 2, Correct? Yes
Position:  56492, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  26375, Model: 2, Candidate: 2, Correct? Yes
Position:  63140, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   2734, Model: 2, Candidate: 2, Correct? Yes
Position: 198684, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  89079, Model: 2, Candidate: 2, Correct? Yes
Position: 115033, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 117889, Model: 2, Candidate: 2, Correct? Yes
Position: 187178, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   3623, Model: 2, Candidate: 2, Correct? Yes
Position:  33285, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  58893, Model: 2, Candidate: 2, Correct? Yes
Position:  76811, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   6909, Model: 2, Candidate: 2, Correct? Yes
Position:   8081, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   5857, Model: 2, Candidate: 2, Correct? Yes
Position: 104151, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  84793, Model: 2, Candidate: 2, Correct? Yes
Position:  90607, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  53534, Model: 2, Candidate: 2, Correct? Yes
Position: 104280, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  70805, Model: 2, Candidate: 2, Correct? Yes
Position: 236635, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  17199, Model: 2, Candidate: 2, Correct? Yes
Position:  22710, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  47750, Model: 2, Candidate: 2, Correct? Yes
Position:  64473, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  12414, Model: 2, Candidate: 2, Correct? Yes
Position:  39109, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 169470, Model: 2, Candidate: 2, Correct? Yes
Position: 188811, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  13427, Model: 2, Candidate: 2, Correct? Yes
Position: 196820, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 158955, Model: 2, Candidate: 2, Correct? Yes
Position: 240864, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  99550, Model: 2, Candidate: 2, Correct? Yes
Position: 209249, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   3755, Model: 2, Candidate: 2, Correct? Yes
Position:  96759, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  38040, Model: 2, Candidate: 2, Correct? Yes
Position: 215115, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   3647, Model: 2, Candidate: 2, Correct? Yes
Position:  56782, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   2173, Model: 2, Candidate: 2, Correct? Yes
Position:   8133, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  53805, Model: 2, Candidate: 2, Correct? Yes
Position: 245802, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 126436, Model: 2, Candidate: 2, Correct? Yes
Position: 260984, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  81687, Model: 2, Candidate: 2, Correct? Yes
Position: 120982, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  54800, Model: 2, Candidate: 2, Correct? Yes
Position:  83021, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
